Vout, Vout-Vin
1.0460460460460461,0.016
1.0510510510510511,0.016
1.0560560560560561,0.017
1.0610610610610611,0.017
1.0660660660660661,0.017
1.0710710710710711,0.018
1.0760760760760761,0.018
1.0810810810810811,0.018
1.0860860860860861,0.018
1.0910910910910911,0.018
1.0960960960960962,0.019
1.1011011011011012,0.019
1.1061061061061062,0.019
1.1111111111111112,0.019
1.1161161161161162,0.02
1.1211211211211212,0.02
1.1261261261261262,0.02
1.1311311311311312,0.02
1.1361361361361362,0.021
1.1411411411411412,0.021
1.1461461461461462,0.021
1.1511511511511512,0.021
1.1561561561561562,0.021
1.1611611611611612,0.022
1.1661661661661662,0.022
1.1711711711711712,0.022
1.1761761761761762,0.022
1.1811811811811812,0.022
1.1861861861861862,0.023
1.1911911911911912,0.023
