Vout, Vout
1.0810810810810811,1.1
1.0860860860860861,1.105
1.0910910910910911,1.11
1.0960960960960962,1.115
1.1011011011011012,1.125
1.1061061061061062,1.13
1.1111111111111112,1.135
1.1161161161161162,1.14
1.1211211211211212,1.145
1.1261261261261262,1.15
1.1311311311311312,1.155
1.1361361361361362,1.16
1.1411411411411412,1.165
1.1461461461461462,1.17
1.1511511511511512,1.175
1.1561561561561562,1.18
1.1611611611611612,1.185
1.1661661661661662,1.19
1.1711711711711712,1.195
1.1761761761761762,1.2
1.1811811811811812,1.205
1.1861861861861862,1.21
1.1911911911911912,1.215
1.1961961961961962,1.22
1.2012012012012012,1.225
1.2062062062062062,1.23
1.2112112112112112,1.235
1.2162162162162162,1.24
1.2212212212212212,1.245
1.2262262262262262,1.25
1.2312312312312312,1.255
