Vdm, Vout
-0.07547547547547548,1.365
-0.07507507507507508,1.365
-0.07467467467467467,1.365
-0.07427427427427427,1.365
-0.07387387387387387,1.365
-0.07347347347347347,1.37
-0.07307307307307309,1.37
-0.07267267267267269,1.37
-0.07227227227227229,1.37
-0.07187187187187188,1.37
-0.07147147147147148,1.37
-0.07107107107107108,1.375
-0.07067067067067068,1.375
-0.07027027027027027,1.375
-0.06986986986986987,1.375
-0.06946946946946947,1.375
-0.06906906906906907,1.375
-0.06866866866866866,1.38
-0.06826826826826826,1.38
-0.06786786786786786,1.38
-0.06746746746746748,1.38
-0.06706706706706708,1.38
-0.06666666666666668,1.385
-0.06626626626626628,1.38
-0.06586586586586587,1.385
-0.06546546546546547,1.385
-0.06506506506506507,1.385
-0.06466466466466467,1.385
-0.06426426426426426,1.385
-0.06386386386386386,1.385
-0.06346346346346346,1.39
-0.06306306306306306,1.39
-0.06266266266266265,1.39
-0.06226226226226228,1.39
-0.06186186186186188,1.39
-0.061461461461461475,1.39
-0.06106106106106107,1.395
-0.06066066066066067,1.395
-0.06026026026026027,1.395
-0.059859859859859865,1.395
-0.05945945945945946,1.4
-0.05905905905905906,1.4
-0.05865865865865866,1.4
-0.058258258258258255,1.4
-0.05785785785785785,1.4
-0.05745745745745745,1.4
-0.05705705705705705,1.405
-0.05665665665665667,1.405
-0.05625625625625627,1.405
-0.05585585585585587,1.405
-0.055455455455455466,1.405
-0.05505505505505506,1.41
-0.05465465465465466,1.41
-0.05425425425425426,1.41
-0.053853853853853856,1.41
-0.05345345345345345,1.415
-0.05305305305305305,1.415
-0.05265265265265265,1.415
-0.052252252252252246,1.415
-0.05185185185185184,1.42
-0.05145145145145147,1.42
-0.051051051051051066,1.42
-0.050650650650650664,1.42
-0.05025025025025026,1.42
-0.04984984984984986,1.425
-0.049449449449449456,1.425
-0.049049049049049054,1.425
-0.04864864864864865,1.43
-0.04824824824824825,1.43
-0.047847847847847846,1.43
-0.047447447447447444,1.43
-0.04704704704704704,1.435
-0.04664664664664664,1.435
-0.046246246246246236,1.435
-0.04584584584584586,1.435
-0.04544544544544546,1.44
-0.04504504504504506,1.44
-0.044644644644644654,1.445
-0.04424424424424425,1.445
-0.04384384384384385,1.445
-0.04344344344344345,1.45
-0.043043043043043044,1.45
-0.04264264264264264,1.45
-0.04224224224224224,1.455
-0.04184184184184184,1.455
-0.041441441441441434,1.455
-0.04104104104104103,1.455
-0.04064064064064066,1.46
-0.040240240240240255,1.465
-0.03983983983983985,1.465
-0.03943943943943945,1.465
-0.03903903903903905,1.465
-0.038638638638638645,1.465
-0.03823823823823824,1.47
-0.03783783783783784,1.47
-0.03743743743743744,1.475
-0.037037037037037035,1.48
-0.03663663663663663,1.48
-0.03623623623623623,1.485
-0.03583583583583583,1.485
-0.03543543543543545,1.49
-0.03503503503503505,1.495
-0.03463463463463465,1.495
-0.034234234234234245,1.5
-0.03383383383383384,1.5
-0.03343343343343344,1.505
-0.03303303303303304,1.51
-0.032632632632632635,1.515
-0.03223223223223223,1.52
-0.03183183183183183,1.52
-0.03143143143143143,1.525
-0.031031031031031026,1.535
-0.030630630630630623,1.545
-0.03023023023023022,1.55
-0.029829829829829846,1.55
-0.029429429429429443,1.56
-0.02902902902902904,1.575
-0.02862862862862864,1.59
-0.028228228228228236,1.605
-0.027827827827827833,1.605
-0.02742742742742743,1.63
-0.02702702702702703,1.66
-0.026626626626626626,1.695
-0.026226226226226224,1.735
-0.02582582582582582,1.735
-0.02542542542542542,1.785
-0.025025025025025016,1.84
-0.02462462462462464,1.895
-0.02422422422422424,1.96
-0.023823823823823836,1.96
-0.023423423423423434,2.025
-0.02302302302302303,2.09
-0.02262262262262263,2.16
-0.022222222222222227,2.235
-0.021821821821821824,2.235
-0.02142142142142142,2.31
-0.02102102102102102,2.385
-0.020620620620620617,2.46
-0.020220220220220214,2.535
-0.01981981981981981,2.535
-0.01941941941941941,2.61
-0.019019019019019034,2.69
-0.018618618618618632,2.77
-0.01821821821821823,2.85
-0.017817817817817827,2.845
-0.017417417417417425,2.925
-0.017017017017017022,3.01
-0.01661661661661662,3.075
-0.016216216216216217,3.16
-0.015815815815815815,3.165
-0.015415415415415412,3.24
-0.01501501501501501,3.325
-0.014614614614614607,3.395
-0.014214214214214205,3.475
-0.01381381381381383,3.475
-0.013413413413413428,3.55
-0.013013013013013025,3.625
-0.012612612612612623,3.695
-0.01221221221221222,3.765
-0.011811811811811818,3.76
-0.011411411411411415,3.83
-0.011011011011011013,3.905
-0.01061061061061061,3.96
-0.010210210210210208,4.025
-0.009809809809809805,4.03
-0.009409409409409403,4.08
-0.009009009009009,4.14
-0.008608608608608598,4.19
-0.008208208208208223,4.23
-0.007807807807807821,4.235
-0.007407407407407418,4.275
-0.007007007007007016,4.31
-0.006606606606606613,4.345
-0.006206206206206211,4.37
-0.005805805805805808,4.365
-0.005405405405405406,4.39
-0.005005005005005003,4.405
-0.004604604604604601,4.425
-0.004204204204204198,4.435
-0.003803803803803796,4.435
