Vout, Iout
-0.3613613613613613,7.15e-05
-0.35935935935935936,7.12e-05
-0.3573573573573574,7.09e-05
-0.35535535535535534,7.05e-05
-0.3533533533533534,7.03e-05
-0.3513513513513513,7e-05
-0.34934934934934936,6.97e-05
-0.3473473473473474,6.93e-05
-0.34534534534534533,6.9e-05
-0.3433433433433434,6.87e-05
-0.3413413413413413,6.84e-05
-0.33933933933933935,6.81e-05
-0.3373373373373374,6.78e-05
-0.3353353353353353,6.74e-05
-0.33333333333333337,6.71e-05
-0.3313313313313313,6.68e-05
-0.32932932932932935,6.64e-05
-0.3273273273273274,6.61e-05
-0.3253253253253253,6.57e-05
-0.32332332332332336,6.54e-05
-0.3213213213213213,6.51e-05
-0.31931931931931934,6.47e-05
-0.31731731731731727,6.44e-05
-0.3153153153153153,6.41e-05
-0.31331331331331336,6.37e-05
-0.3113113113113113,6.33e-05
-0.30930930930930933,6.3e-05
-0.30730730730730726,6.26e-05
-0.3053053053053053,6.22e-05
-0.30330330330330335,6.19e-05
-0.3013013013013013,6.15e-05
-0.2992992992992993,6.12e-05
-0.29729729729729726,6.08e-05
-0.2952952952952953,6.05e-05
-0.29329329329329334,6.01e-05
-0.2912912912912913,5.97e-05
-0.2892892892892893,5.93e-05
-0.28728728728728725,5.89e-05
-0.2852852852852853,5.86e-05
-0.28328328328328334,5.82e-05
-0.28128128128128127,5.78e-05
-0.2792792792792793,5.74e-05
-0.27727727727727725,5.71e-05
-0.2752752752752753,5.67e-05
-0.27327327327327333,5.63e-05
-0.27127127127127126,5.59e-05
-0.2692692692692693,5.55e-05
-0.26726726726726724,5.51e-05
-0.2652652652652653,5.47e-05
-0.2632632632632632,5.43e-05
-0.26126126126126126,5.39e-05
-0.2592592592592593,5.35e-05
-0.25725725725725723,5.31e-05
-0.2552552552552553,5.27e-05
-0.2532532532532532,5.23e-05
-0.25125125125125125,5.19e-05
-0.2492492492492493,5.14e-05
-0.24724724724724723,5.1e-05
-0.24524524524524527,5.07e-05
-0.2432432432432432,5.03e-05
-0.24124124124124124,4.98e-05
-0.2392392392392393,4.95e-05
-0.23723723723723722,4.91e-05
-0.23523523523523526,4.86e-05
-0.2332332332332332,4.83e-05
-0.23123123123123124,4.78e-05
-0.22922922922922928,4.74e-05
-0.2272272272272272,4.7e-05
-0.22522522522522526,4.66e-05
-0.2232232232232232,4.62e-05
-0.22122122122122123,4.58e-05
-0.21921921921921927,4.54e-05
-0.2172172172172172,4.5e-05
-0.21521521521521525,4.45e-05
-0.21321321321321318,4.41e-05
-0.21121121121121122,4.36e-05
-0.20920920920920927,4.32e-05
-0.2072072072072072,4.27e-05
